Registro;Versão;Data;Hora;Evento;Info;Descrição;
007727;08.08;23/01/25;05:06:36;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007728;08.08;23/01/25;05:23:59;PWN Internal Log                ;_A0_03_03_03_03;????;
007729;08.08;23/01/25;05:24:22;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007730;08.08;23/01/25;05:24:26;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007731;08.08;23/01/25;05:24:26;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007732;08.08;23/01/25;05:41:49;PWN Internal Log                ;_A0_03_03_03_03;????;
007733;08.08;23/01/25;05:42:12;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007734;08.08;23/01/25;05:42:15;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007735;08.08;23/01/25;05:42:16;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007736;08.08;23/01/25;05:59:38;PWN Internal Log                ;_A0_03_03_03_03;????;
007737;08.08;23/01/25;06:00:01;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007738;08.08;23/01/25;06:00:05;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007739;08.08;23/01/25;06:00:05;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007740;08.08;23/01/25;06:17:28;PWN Internal Log                ;_A0_03_03_03_03;????;
007741;08.08;23/01/25;06:17:51;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007742;08.08;23/01/25;06:17:55;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007743;08.08;23/01/25;06:17:55;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007744;08.08;23/01/25;06:35:18;PWN Internal Log                ;_A0_03_03_03_03;????;
007745;08.08;23/01/25;06:35:41;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007746;08.08;23/01/25;06:35:44;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007747;08.08;23/01/25;06:35:45;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007748;08.08;23/01/25;06:53:07;PWN Internal Log                ;_A0_03_03_03_03;????;
