Registro;Versão;Data;Hora;Evento;Info;Descrição;
007960;08.08;23/01/25;22:43:52;PWN Internal Log                ;_A0_03_03_03_03;????;
007961;08.08;23/01/25;22:44:15;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007962;08.08;23/01/25;22:44:19;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007963;08.08;23/01/25;22:44:19;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007964;08.08;23/01/25;23:01:42;PWN Internal Log                ;_A0_03_03_03_03;????;
007965;08.08;23/01/25;23:02:05;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007966;08.08;23/01/25;23:02:09;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007967;08.08;23/01/25;23:02:09;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007968;08.08;23/01/25;23:19:31;PWN Internal Log                ;_A0_03_03_03_03;????;
007969;08.08;23/01/25;23:19:54;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007970;08.08;23/01/25;23:19:58;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007971;08.08;23/01/25;23:19:58;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007972;08.08;23/01/25;23:37:21;PWN Internal Log                ;_A0_03_03_03_03;????;
007973;08.08;23/01/25;23:37:44;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007974;08.08;23/01/25;23:37:48;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007975;08.08;23/01/25;23:37:48;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007976;08.08;23/01/25;23:55:11;PWN Internal Log                ;_A0_03_03_03_03;????;
007977;08.08;23/01/25;23:55:34;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007978;08.08;23/01/25;23:55:37;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007979;08.08;23/01/25;23:55:38;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007980;08.08;24/01/25;00:13:00;PWN Internal Log                ;_A0_03_03_03_03;????;
007981;08.08;24/01/25;00:13:23;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007982;08.08;24/01/25;00:13:27;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007983;08.08;24/01/25;00:13:27;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007984;08.08;24/01/25;00:30:50;PWN Internal Log                ;_A0_03_03_03_03;????;
007985;08.08;24/01/25;00:31:13;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007986;08.08;24/01/25;00:31:17;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007987;08.08;24/01/25;00:31:17;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007988;08.08;24/01/25;00:48:40;PWN Internal Log                ;_A0_03_03_03_03;????;
007989;08.08;24/01/25;00:49:03;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007990;08.08;24/01/25;00:49:06;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007991;08.08;24/01/25;00:49:06;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007992;08.08;24/01/25;01:06:29;PWN Internal Log                ;_A0_03_03_03_03;????;
007993;08.08;24/01/25;01:06:52;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007994;08.08;24/01/25;01:06:56;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007995;08.08;24/01/25;01:06:56;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007996;08.08;24/01/25;01:24:19;PWN Internal Log                ;_A0_03_03_03_03;????;
007997;08.08;24/01/25;01:24:42;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007998;08.08;24/01/25;01:24:46;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007999;08.08;24/01/25;01:24:46;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
008000;08.08;24/01/25;01:42:09;PWN Internal Log                ;_A0_03_03_03_03;????;
008001;08.08;24/01/25;01:42:32;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
008002;08.08;24/01/25;01:42:35;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
008003;08.08;24/01/25;01:42:35;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
008004;08.08;24/01/25;01:59:58;PWN Internal Log                ;_A0_03_03_03_03;????;
008005;08.08;24/01/25;02:00:21;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
